Price,Close,High,Low,Open,Volume
Ticker,LLY,LLY,LLY,LLY,LLY
Date,,,,,
2015-01-02,57.68756103515625,58.31334851943324,57.4076072787007,57.44877362297081,3146200
2015-01-05,57.119441986083984,57.712286595292674,56.93829240463267,57.41586743172005,4845500
2015-01-06,57.40760803222656,58.38745875680396,56.97943532818398,57.572285975590106,5127400
2015-01-07,57.00413131713867,58.07455029987376,56.36187238902609,57.66284924142344,9043000
2015-01-08,58.35451889038086,58.865024257612646,57.35820293587628,57.6381566815117,7472200
2015-01-09,57.58052444458008,57.72873711334849,56.82299581845759,57.66286342010449,8141700
2015-01-12,57.16057586669922,58.14042643753931,57.045300068019195,57.81930010092212,5797600
2015-01-13,57.127662658691406,58.29689897221617,56.658323489326264,57.695812388682754,3364800
2015-01-14,57.4405517578125,57.53935602284152,56.57597674643887,56.625378878953384,3376100
2015-01-15,57.42409133911133,58.68389621927058,57.41586183680251,58.000476885932365,4055000
2015-01-16,58.198097229003906,58.362775239601625,57.17707974275848,57.30058510967506,4263300
2015-01-20,59.30967712402344,59.36731504390631,58.35453355424123,58.35453355424123,6163300
2015-01-21,59.48258590698242,59.696672283805036,58.55214348327356,58.97208045417826,5195900
2015-01-22,59.66373062133789,59.85311591672123,58.98854097850425,59.85311591672123,4582800
2015-01-23,59.392005920410156,59.99309236638066,59.32613851046271,59.66373018839933,2903200
2015-01-26,59.37554168701172,59.42494381586,58.51096673979994,59.169691107395685,3466600
2015-01-27,59.062660217285156,59.400251953481984,58.83210225546674,59.087361285535884,3661600
2015-01-28,58.43686294555664,59.59785693597946,58.26394921430478,59.37554107638737,3105200
2015-01-29,59.37554168701172,59.41671431575938,57.98398975854781,58.436863546527526,4416600
2015-01-30,59.284976959228516,60.49537957727605,58.939149434661275,60.124844702043546,6720100
2015-02-02,59.02971649169922,59.284969209982556,57.82754981434416,59.17792916600663,6274500
2015-02-03,58.37101364135742,58.98856563187712,57.51467412732245,58.94739298635033,6811500
2015-02-04,57.8193359375,58.04165189215782,57.448800970318615,57.82757172309881,5376400
2015-02-05,58.79916763305664,58.930908748667534,58.19808112478346,58.214546408461686,3847000
2015-02-06,57.93460464477539,58.78270827674703,57.83579407599756,58.59332920583493,3246000
2015-02-09,57.31703567504883,57.85224843644761,57.12765037840823,57.638162075475876,3771200
2015-02-10,58.049861907958984,58.099264035493476,57.54758600448836,57.72873551486281,6888000
2015-02-11,58.008399963378906,58.56402492440125,57.801079010933755,58.04986668464128,3456400
2015-02-12,58.48938751220703,58.50597673188827,57.90889136203386,58.20743404696107,3383500
2015-02-13,58.514259338378906,58.78792449416975,58.20742840031,58.62207027504779,2691900
2015-02-17,59.343563079833984,59.401612708776035,58.29866975887714,58.38989150820536,3971600
2015-02-18,58.88743209838867,59.25231259179122,58.21570805850633,59.21914681442623,3800000
2015-02-19,58.978668212890625,59.11964494539653,58.68841381111156,58.73817514318044,2337000
2015-02-20,59.608917236328125,59.675261458758754,58.273769812844876,58.85427226871293,3461700
2015-02-23,58.95378494262695,59.64209204588536,58.638659362224416,59.5508703176495,3378600
2015-02-24,58.79621887207031,59.29378785441308,58.472798717200874,58.8791459813053,3158600
2015-02-25,58.34841537475586,58.77135193286627,58.091339391852486,58.77135193286627,3029500
2015-02-26,58.074737548828125,58.306935976717654,57.66839030002145,58.19083676277289,4544900
2015-02-27,58.190853118896484,58.46451834022991,57.97524384778629,58.008409638007535,3353200
2015-03-02,58.978668212890625,58.995251105624575,58.182556496057025,58.19084477895725,3815100
2015-03-03,58.35669708251953,59.003537365474806,58.12449232857042,58.9786598664277,4137300
2015-03-04,58.588897705078125,58.7298744229164,57.89229607099178,58.05815661574227,3005100
2015-03-05,58.53913116455078,58.953772999098724,58.38157156973652,58.663524980301624,3465900
2015-03-06,56.731319427490234,58.265493506680706,56.648385968938385,58.265493506680706,5880800
2015-03-09,57.70159149169922,57.8342736629705,56.73961886050511,57.00498952998352,5848000
2015-03-10,57.03812789916992,57.57716353199544,56.84739620454267,57.320087627527364,3664900
2015-03-11,56.77275848388672,57.49423754425121,56.73129809713404,57.12935071000726,3424500
2015-03-12,57.68496322631836,57.743012823263605,56.83909676698315,57.013245557818884,2724000
2015-03-13,57.95864486694336,58.09133331322458,57.3366820106002,57.56059218196642,3223800
2015-03-16,58.93721008300781,59.21087530501658,58.19914787354253,58.27378039212614,3922300
2015-03-17,58.74644470214844,59.094748607883616,58.323514639428886,58.63864011640391,2572500
2015-03-18,60.98553466796875,61.507981212172346,58.622076977142534,58.7962258252104,6436200
2015-03-19,61.549434661865234,61.847977287581124,60.19769823794823,60.753323102266954,7051200
2015-03-20,63.12507247924805,63.19141036148024,61.81480281944893,62.3787159434807,10713900
2015-03-23,63.3241081237793,64.23631899012905,62.98409874684066,63.04214835669202,6284400
2015-03-24,62.66071701049805,63.6061005660164,62.494862688347645,63.24950807914988,5111600
2015-03-25,61.665550231933594,63.42363434688978,61.665550231933594,62.743621813857146,5431600
2015-03-26,60.90263366699219,61.657278998915565,60.88604443990937,61.36703079432965,4023500
2015-03-27,61.018707275390625,61.35871036429704,60.703575362771275,61.051879388662854,4171600
2015-03-30,61.25920104980469,61.53285991528652,61.09334048155263,61.367005673968215,3370700
2015-03-31,60.24746322631836,61.350412086943784,60.24746322631836,60.82795929668298,4348000
2015-04-01,59.31868362426758,60.51285461123358,58.93721374275006,60.47138788037816,5875800
2015-04-02,59.07817459106445,59.525988590552004,58.48938386773818,59.26061803458899,3781800
2015-04-06,59.13623046875,59.46794528058673,58.74646603936188,58.98695911977016,3936900
2015-04-07,59.459651947021484,59.774783872152675,59.02842711122871,59.08647673002647,3128100
2015-04-08,59.83283233642578,59.940636961560315,59.32696867083471,59.64209426295136,3215400
2015-04-09,60.0069580078125,60.172812186552555,59.62548833516529,59.89085881730819,2595800
2015-04-10,61.300662994384766,61.35042432958363,59.9157604309163,60.123081401265495,3956400
2015-04-13,60.96894836425781,61.0684647080282,60.62894526184338,60.769922003650976,4351500
2015-04-14,60.919185638427734,61.15967869353939,60.62064297187072,60.786503523809685,3950600
2015-04-15,61.126487731933594,61.38356359949118,60.786484777447534,60.98551105146208,4358700
2015-04-16,60.9440803527832,61.36701697101713,60.86115321685801,61.043596712054395,2880000
2015-04-17,60.09818649291992,60.703560007942635,59.675250064346905,60.54600041842099,4386700
2015-04-20,60.048439025878906,60.75332894390081,59.957217307753766,60.53771339861113,2540400
2015-04-21,59.882606506347656,60.637258104579686,59.758212620965516,60.52115883207258,4048400
2015-04-22,59.95720291137695,60.098179595744725,59.608899013561214,60.098179595744725,3506100
2015-04-23,60.04014205932617,60.487956023374764,58.93719320307312,60.43819469830317,5448700
2015-04-24,59.36013412475586,60.06502406802177,59.094763569869876,59.89087523452782,3816300
2015-04-27,58.78792953491211,59.84941181294788,58.572313970019394,59.65038546754953,5328400
2015-04-28,59.028438568115234,59.111365707216876,58.21573742027476,58.564041527597915,4557900
2015-04-29,59.94064712524414,60.388461249090035,59.57576013686566,59.59234936012007,6789600
2015-04-30,59.60062026977539,60.214288420512595,59.23573342650509,59.67525276393575,5479300
2015-05-01,60.637210845947266,60.811359618982145,59.08644844759252,59.924026540986766,6533400
2015-05-04,60.57918167114258,61.02698933733336,60.413321121689485,60.745035893662646,4040700
2015-05-05,59.63380813598633,60.512847043157194,59.55916929516829,60.39674780360384,3735900
2015-05-06,59.749908447265625,59.940640204124115,59.32697188020136,59.68356421577826,3567600
2015-05-07,59.55915451049805,59.94891885807431,59.47622740667879,59.50110490513132,3628100
2015-05-08,60.75333786010742,61.11821845922527,60.12308034972744,60.12308034972744,3713300
2015-05-11,60.927490234375,61.35871508623207,60.695291750533954,60.753341371494216,2958600
2015-05-12,60.073326110839844,60.653822294317465,59.965515157526944,60.653822294317465,3152800
2015-05-13,60.37186813354492,60.72846044993535,60.114785832097255,60.33869601958607,2682100
2015-05-14,61.0064697265625,61.14007578863205,60.48041019121093,60.68916488517884,3364300
2015-05-15,60.87286376953125,61.30707068518897,60.614003643587914,61.14842146617076,3464400
2015-05-18,60.90627670288086,61.031524433306416,60.63907092682597,60.99812928565175,2162000
2015-05-19,61.33212661743164,61.44068313567301,60.64741147517434,60.80606708141161,3548000
2015-05-20,61.256980895996094,61.53253863444176,61.10667725417919,61.332129531560554,1980300
2015-05-21,62.016845703125,62.08364873849243,61.10667823632406,61.24027793637083,3288200
2015-05-22,62.04191970825195,62.06696926114613,61.68286125182557,61.83316493988057,3023400
2015-05-26,62.05026626586914,62.10037174311761,61.64110869736522,61.75801085979491,4194600
2015-05-27,62.54290771484375,62.61805634689581,61.908291660090754,62.09199681046828,2901100
2015-05-28,63.803802490234375,63.8622535632469,62.409315970039906,62.45942144025718,4823600
2015-05-29,65.88299560546875,66.42575919032093,63.47813698229332,63.58669352167711,11917000
2015-06-01,65.96649169921875,66.67625647500935,65.7827865258095,65.89968865967202,4866500
2015-06-02,65.08973693847656,65.76610674821454,64.72233286292344,65.76610674821454,4467700
